Expression	Value	Location	Type	
ADXL_DUR	0x70	0x200018B9	unsigned char	
[391]	1299	0x20000D7E	unsigned short	
[392]	1259	0x20000D80	unsigned short	
[393]	1269	0x20000D82	unsigned short	
[394]	1262	0x20000D84	unsigned short	
[395]	1271	0x20000D86	unsigned short	
[396]	1275	0x20000D88	unsigned short	
[397]	1272	0x20000D8A	unsigned short	
[398]	1262	0x20000D8C	unsigned short	
[399]	1278	0x20000D8E	unsigned short	
[400]	1269	0x20000D90	unsigned short	
[401]	1294	0x20000D92	unsigned short	
[402]	1270	0x20000D94	unsigned short	
[403]	1271	0x20000D96	unsigned short	
[404]	1240	0x20000D98	unsigned short	
[405]	1256	0x20000D9A	unsigned short	
[406]	1247	0x20000D9C	unsigned short	
[407]	1256	0x20000D9E	unsigned short	
[408]	1206	0x20000DA0	unsigned short	
[409]	1215	0x20000DA2	unsigned short	
[410]	1218	0x20000DA4	unsigned short	
[411]	1213	0x20000DA6	unsigned short	
[412]	1251	0x20000DA8	unsigned short	
[413]	1250	0x20000DAA	unsigned short	
[414]	1231	0x20000DAC	unsigned short	
[415]	1237	0x20000DAE	unsigned short	
[416]	1304	0x20000DB0	unsigned short	
[417]	1289	0x20000DB2	unsigned short	
[418]	1297	0x20000DB4	unsigned short	
[419]	1301	0x20000DB6	unsigned short	
[420]	1350	0x20000DB8	unsigned short	
[421]	1340	0x20000DBA	unsigned short	
[422]	1327	0x20000DBC	unsigned short	
[423]	1327	0x20000DBE	unsigned short	
[424]	1261	0x20000DC0	unsigned short	
[425]	1258	0x20000DC2	unsigned short	
[426]	1271	0x20000DC4	unsigned short	
[427]	1266	0x20000DC6	unsigned short	
[428]	1175	0x20000DC8	unsigned short	
[429]	1188	0x20000DCA	unsigned short	
[430]	1201	0x20000DCC	unsigned short	
[431]	1194	0x20000DCE	unsigned short	
[432]	1266	0x20000DD0	unsigned short	
[433]	1287	0x20000DD2	unsigned short	
[434]	1272	0x20000DD4	unsigned short	
[435]	1264	0x20000DD6	unsigned short	
[436]	1240	0x20000DD8	unsigned short	
[437]	1235	0x20000DDA	unsigned short	
[438]	1232	0x20000DDC	unsigned short	
[439]	1244	0x20000DDE	unsigned short	
[440]	1352	0x20000DE0	unsigned short	
[441]	1343	0x20000DE2	unsigned short	
[442]	1343	0x20000DE4	unsigned short	
[443]	1334	0x20000DE6	unsigned short	
[444]	1251	0x20000DE8	unsigned short	
[445]	1241	0x20000DEA	unsigned short	
[446]	1231	0x20000DEC	unsigned short	
[447]	1243	0x20000DEE	unsigned short	
[448]	1270	0x20000DF0	unsigned short	
[449]	1264	0x20000DF2	unsigned short	
[450]	1252	0x20000DF4	unsigned short	
[451]	1273	0x20000DF6	unsigned short	
[452]	1272	0x20000DF8	unsigned short	
[453]	1276	0x20000DFA	unsigned short	
[454]	1262	0x20000DFC	unsigned short	
[455]	1272	0x20000DFE	unsigned short	
[456]	1263	0x20000E00	unsigned short	
[457]	1287	0x20000E02	unsigned short	
[458]	1270	0x20000E04	unsigned short	
[459]	1271	0x20000E06	unsigned short	
[460]	1283	0x20000E08	unsigned short	
[461]	1295	0x20000E0A	unsigned short	
[462]	1307	0x20000E0C	unsigned short	
[463]	1291	0x20000E0E	unsigned short	
[464]	1216	0x20000E10	unsigned short	
[465]	1222	0x20000E12	unsigned short	
[466]	1224	0x20000E14	unsigned short	
[467]	1226	0x20000E16	unsigned short	
[468]	1309	0x20000E18	unsigned short	
[469]	1314	0x20000E1A	unsigned short	
[470]	1306	0x20000E1C	unsigned short	
[471]	1309	0x20000E1E	unsigned short	
[472]	1286	0x20000E20	unsigned short	
[473]	1287	0x20000E22	unsigned short	
[474]	1283	0x20000E24	unsigned short	
